% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,10,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute serror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.13,normal
tcp,SF,0,0,normal
tcp,RSTR,0.1,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,S1,0.48,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.11,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.03,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.03,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.15,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0.2,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0.16,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.13,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.08,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,S3,0.4,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S3,0.22,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.04,normal
tcp,OTH,0,0.13,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S1,0.23,0,normal
tcp,S2,0.47,0,normal
tcp,OTH,0,0.21,normal
tcp,OTH,0,0.09,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S2,0.5,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.38,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.18,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.03,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.11,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.18,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.1,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.16,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.16,normal
tcp,OTH,0,0.01,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.03,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,S2,0.35,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,S2,0.47,0,normal
tcp,S2,0.49,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.03,normal
tcp,OTH,0,0.01,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0.1,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.16,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.14,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S3,0.51,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.07,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.16,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.17,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,S1,0.45,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,S1,0.49,0,normal
tcp,OTH,0,0.07,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,S3,0.42,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S3,0.09,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.14,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S2,0.14,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.11,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0.2,normal
tcp,OTH,0,0.08,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,OTH,0,0.14,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.11,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.11,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.07,normal
tcp,OTH,0,0.18,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.14,normal
tcp,OTH,0,0.03,normal
tcp,OTH,0,0,normal
tcp,RSTR,0.47,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.07,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.1,normal
tcp,S1,0.25,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.09,normal
tcp,S1,0.37,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.03,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.06,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,RSTR,0.13,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.13,normal
tcp,SF,0,0,normal
tcp,S3,0.15,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,S1,0.49,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S1,0.48,0,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.1,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,S3,0.5,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,S2,0.34,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.05,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.17,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.04,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.01,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.07,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0.13,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.19,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.16,normal
tcp,OTH,0,0.27,normal
tcp,OTH,0,0.15,normal
tcp,OTH,0,0.09,normal
tcp,SF,0,0,normal
tcp,S3,0.43,0,normal
tcp,OTH,0,0.14,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,RSTR,0.13,0,normal
tcp,OTH,0,0.01,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0,normal
tcp,S1,0.29,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.19,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.17,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.18,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.1,normal
tcp,OTH,0,0.13,normal
tcp,S3,0.24,0,normal
tcp,S3,0.44,0,normal
tcp,SF,0,0,normal
tcp,S3,0.15,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.06,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.06,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.06,normal
tcp,OTH,0,0.15,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.01,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.02,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.18,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.03,normal
tcp,OTH,0,0.12,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.87,normal
tcp,OTH,0,0.82,normal
tcp,OTH,0,0.08,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.97,normal
tcp,SF,0,0,normal
tcp,SF,0,0,normal
