% isAttack normal:	1000
% isAttack highrate:	500
% isAttack lowrate:	500
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-9,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,1853,1853,0,100,0,0,normal
SF,946,2150,2150,0,100,0,0,normal
SF,946,2066,2066,0,100,0,0,normal
SF,946,2235,2235,0,100,0,0,normal
OTH,66,6134,6134,0,44,0.11,0,normal
SF,946,1188,1188,0,100,0,0,normal
OTH,78,3282,3282,0,96,0.01,0,normal
OTH,66,2954,2954,0,48,0.02,0,normal
OTH,66,3186,3186,0,62,0,0,normal
OTH,66,5892,5892,0,45,0.09,0,normal
OTH,66,3117,3117,0,29,0.2,0,normal
OTH,66,6264,6264,0,48,0.08,0,normal
SF,946,4091,4091,0,100,0,0,normal
OTH,66,5512,5512,0,81,0.05,0,normal
OTH,66,4904,4904,0,43,0.14,0,normal
SF,946,2393,2393,0,86,0,0,normal
SF,946,2519,2519,0,100,0,0,normal
OTH,66,3368,3368,0,46,0.11,0,normal
SF,946,2555,2555,0,100,0,0,normal
SF,946,4251,4251,0,83,0,0,normal
OTH,66,3777,3777,0,43,0,0,normal
OTH,66,5902,5902,0,43,0.11,0,normal
SF,946,3386,3386,0,100,0,0,normal
OTH,66,3666,3666,0,39,0.07,0,normal
OTH,66,3834,3834,0,33,0.18,0,normal
SF,946,2512,2512,0,100,0,0,normal
SF,946,3371,3371,0,100,0,0,normal
OTH,66,3600,3600,0,66,0.07,0,normal
SF,946,804,804,0,100,0,0,normal
SF,946,2238,2238,0,100,0,0,normal
OTH,66,2911,2911,0,53,0,0,normal
SF,880,1505,1505,0,95,0,0,normal
SF,946,950,950,0,100,0,0,normal
OTH,146,3192,3192,0,62,0,0,normal
SF,880,1936,1936,0,86,0,0,normal
OTH,66,2813,2813,0,50,0.14,0,normal
OTH,66,5406,5406,0,97,0.03,0,normal
OTH,66,3026,3026,0,21,0,0,normal
RSTR,880,3306,3306,0,100,0,0,normal
SF,946,1461,1461,0,100,0,0,normal
OTH,66,3970,3970,0,94,0.07,0,normal
OTH,66,3491,3491,0,49,0,0,normal
SF,946,1062,1062,0,100,0,0,normal
OTH,66,2894,2894,0,50,0,0,normal
SF,880,986,986,0,100,0,0,normal
SF,946,2351,2351,0,100,0,0,normal
SF,946,3314,3314,0,51,0,0,normal
OTH,66,3297,3297,0,47,0.1,0,normal
S1,880,2206,2206,0,100,0,0,normal
SF,946,2577,2577,0,52,0,0,normal
OTH,66,5823,5823,0,45,0.09,0,normal
S1,140,2657,2657,0,100,0,0,normal
SF,946,1839,1839,0,100,0,0,normal
